﻿Contcod,Group,Measure Names,quantile,Avg. R Rinc,Measure Values,Pop
GTM,1,Running Sum of Pop along Table (Down),0,82,0.8525211,0.8525211
UGA,1,Running Sum of Pop along Table (Down),0,85,2.5007576,1.6482365
SLV,1,Running Sum of Pop along Table (Down),0,87,3.0197141,0.5189565
LSO,1,Running Sum of Pop along Table (Down),0,99,3.1777041,0.15799
MRT,1,Running Sum of Pop along Table (Down),0,104,3.3669369,0.1892328
HND,1,Running Sum of Pop along Table (Down),0,119,3.8287614,0.4618245
UGA,2,Running Sum of Pop along Table (Down),0,133,5.4769979,1.6482365
NGA,1,Running Sum of Pop along Table (Down),0,136,14.7501283,9.2731304
CRI,1,Running Sum of Pop along Table (Down),0,147,15.0417849,0.2916566
CHN-R,1,Running Sum of Pop along Table (Down),0,157,96.9589945,81.9172096
PAK,1,Running Sum of Pop along Table (Down),0,165,107.4922409,10.5332464
GHA,1,Running Sum of Pop along Table (Down),0,166,108.893336,1.4010951
IDN-U,1,Running Sum of Pop along Table (Down),0,167,114.019932,5.126596
LSO,2,Running Sum of Pop along Table (Down),0,174,114.177922,0.15799
GTM,2,Running Sum of Pop along Table (Down),0,177,115.0304431,0.8525211
IDN-R,1,Running Sum of Pop along Table (Down),0,178,127.7045271,12.674084
UGA,3,Running Sum of Pop along Table (Down),0,180,129.3527636,1.6482365
BGD,1,Running Sum of Pop along Table (Down),0,185,139.3589956,10.006232
BRA,1,Running Sum of Pop along Table (Down),0,196,153.806034,14.4470384
HND,2,Running Sum of Pop along Table (Down),0,196,154.2678585,0.4618245
IND-R,1,Running Sum of Pop along Table (Down),1,203,217.0785785,62.81072
UZB,1,Running Sum of Pop along Table (Down),1,203,219.0346965,1.956118
MRT,2,Running Sum of Pop along Table (Down),1,205,219.2239293,0.1892328
CHN-R,2,Running Sum of Pop along Table (Down),1,207,301.1411389,81.9172096
IND-U,1,Running Sum of Pop along Table (Down),1,210,322.1003853,20.9592464
NGA,2,Running Sum of Pop along Table (Down),1,212,331.3735157,9.2731304
PAK,2,Running Sum of Pop along Table (Down),1,213,341.9067621,10.5332464
IDN-U,2,Running Sum of Pop along Table (Down),1,221,347.0333581,5.126596
IDN-R,2,Running Sum of Pop along Table (Down),1,230,359.7074421,12.674084
UGA,4,Running Sum of Pop along Table (Down),1,230,361.3556786,1.6482365
DOM,1,Running Sum of Pop along Table (Down),1,233,362.0463957,0.6907171
BGD,2,Running Sum of Pop along Table (Down),1,235,372.0526277,10.006232
ECU,1,Running Sum of Pop along Table (Down),1,235,373.0318935,0.9792658
GHA,2,Running Sum of Pop along Table (Down),1,238,374.4329886,1.4010951
UZB,2,Running Sum of Pop along Table (Down),1,238,376.3891066,1.956118
CHN-R,3,Running Sum of Pop along Table (Down),2,248,458.3063162,81.9172096
PHL,1,Running Sum of Pop along Table (Down),2,255,464.1635234,5.8572072
UZB,3,Running Sum of Pop along Table (Down),2,255,466.1196414,1.956118
PAK,3,Running Sum of Pop along Table (Down),2,256,476.6528878,10.5332464
LSO,3,Running Sum of Pop along Table (Down),2,257,476.8108778,0.15799
IDN-R,3,Running Sum of Pop along Table (Down),2,266,489.4849618,12.674084
IDN-U,3,Running Sum of Pop along Table (Down),2,268,494.6115578,5.126596
IND-R,2,Running Sum of Pop along Table (Down),2,269,557.4222778,62.81072
IND-U,2,Running Sum of Pop along Table (Down),2,269,578.3815242,20.9592464
NGA,3,Running Sum of Pop along Table (Down),2,269,587.6546546,9.2731304
BGD,3,Running Sum of Pop along Table (Down),2,277,597.6608866,10.006232
UZB,4,Running Sum of Pop along Table (Down),2,280,599.6170046,1.956118
GTM,3,Running Sum of Pop along Table (Down),2,281,600.4695257,0.8525211
UGA,5,Running Sum of Pop along Table (Down),2,283,602.1177622,1.6482365
HND,3,Running Sum of Pop along Table (Down),2,284,602.5795867,0.4618245
CHN-R,4,Running Sum of Pop along Table (Down),3,285,684.4967963,81.9172096
CHN-U,1,Running Sum of Pop along Table (Down),3,291,712.7425883,28.245792
PAK,4,Running Sum of Pop along Table (Down),3,298,723.2758347,10.5332464
IDN-R,4,Running Sum of Pop along Table (Down),3,300,735.9499187,12.674084
MRT,3,Running Sum of Pop along Table (Down),3,301,736.1391515,0.1892328
GHA,3,Running Sum of Pop along Table (Down),3,303,737.5402466,1.4010951
NZL,1,Running Sum of Pop along Table (Down),3,306,737.8752466,0.335
IDN-U,4,Running Sum of Pop along Table (Down),3,314,743.0018426,5.126596
IND-R,3,Running Sum of Pop along Table (Down),3,315,805.8125626,62.81072
BGD,4,Running Sum of Pop along Table (Down),3,316,815.8187946,10.006232
CHN-R,5,Running Sum of Pop along Table (Down),4,321,897.7360042,81.9172096
IND-U,3,Running Sum of Pop along Table (Down),4,324,918.6952506,20.9592464
NGA,4,Running Sum of Pop along Table (Down),4,326,927.968381,9.2731304
UZB,5,Running Sum of Pop along Table (Down),4,326,929.924499,1.956118
