{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf600
{\fonttbl\f0\fswiss\fcharset0 ArialMT;}
{\colortbl;\red255\green255\blue255;\red26\green26\blue26;\red255\green255\blue255;}
{\*\expandedcolortbl;;\cssrgb\c13333\c13333\c13333;\cssrgb\c100000\c100000\c100000;}
\paperw11900\paperh16840\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\deftab720
\pard\pardeftab720\sl320\partightenfactor0

\f0\fs28 \cf2 \cb3 \expnd0\expndtw0\kerning0
ABW,Aruba\'a0\
AFG,Afghanistan\'a0\
AGO,Angola\'a0\
AIA,Anguilla\'a0\
ALA,\'c5land Islands\'a0\
ALB,Albania\'a0\
AND,Andorra\'a0\
ANT,Netherlands Antilles\'a0\
ARE,United Arab Emirates\'a0\
ARG,Argentina\'a0\
ARM,Armenia\'a0\
ASM,American Samoa\'a0\
ATA,Antarctica\'a0\
ATF,French Southern Territories\'a0\
ATG,Antigua and Barbuda\'a0\
AUS,Australia\'a0\
AUT,Austria\'a0\
AZE,Azerbaijan\'a0\
BDI,Burundi\'a0\
BEL,Belgium\'a0\
BEN,Benin\'a0\
BFA,Burkina Faso\'a0\
BGD,Bangladesh\'a0\
BGR,Bulgaria\'a0\
BHR,Bahrain\'a0\
BHS,Bahamas\'a0\
BIH,Bosnia and Herzegovina\'a0\
BLM,Saint Barth\'e9lemy\'a0\
BLR,Belarus\'a0\
BLZ,Belize\'a0\
BMU,Bermuda\'a0\
BOL,Bolivia Plurinational State of\'a0\
BRA,Brazil\'a0\
BRB,Barbados\'a0\
BRN,Brunei Darussalam\'a0\
BTN,Bhutan\'a0\
BVT,Bouvet Island\'a0\
BWA,Botswana\'a0\
CAF,Central African Republic\'a0\
CAN,Canada\'a0\
CCK,Cocos (Keeling) Islands\'a0\
CHE,Switzerland\'a0\
CHL,Chile\'a0\
CHN,China\'a0\
CIV,C\'f4te d'Ivoire\'a0\
CMR,Cameroon\'a0\
COD,Congo the Democratic Republic of the\'a0\
COG,Congo\'a0\
COK,Cook Islands\'a0\
COL,Colombia\'a0\
COM,Comoros\'a0\
CPV,Cape Verde\'a0\
CRI,Costa Rica\'a0\
CUB,Cuba\'a0\
CXR,Christmas Island\'a0\
CYM,Cayman Islands\'a0\
CYP,Cyprus\'a0\
CZE,Czech Republic\'a0\
DEU,Germany\'a0\
DJI,Djibouti\'a0\
DMA,Dominica\'a0\
DNK,Denmark\'a0\
DOM,Dominican Republic\'a0\
DZA,Algeria\'a0\
ECU,Ecuador\'a0\
EGY,Egypt\'a0\
ERI,Eritrea\'a0\
ESH,Western Sahara\'a0\
ESP,Spain\'a0\
EST,Estonia\'a0\
ETH,Ethiopia\'a0\
FIN,Finland\'a0\
FJI,Fiji\'a0\
FLK,Falkland Islands (Malvinas)\'a0\
FRA,France\'a0\
FRO,Faroe Islands\'a0\
FSM,Micronesia Federated States of\'a0\
GAB,Gabon\'a0\
GBR,United Kingdom\'a0\
GEO,Georgia\'a0\
GGY,Guernsey\'a0\
GHA,Ghana\'a0\
GIB,Gibraltar\'a0\
GIN,Guinea\'a0\
GLP,Guadeloupe\'a0\
GMB,Gambia\'a0\
GNB,Guinea-Bissau\'a0\
GNQ,Equatorial Guinea\'a0\
GRC,Greece\'a0\
GRD,Grenada\'a0\
GRL,Greenland\'a0\
GTM,Guatemala\'a0\
GUF,French Guiana\'a0\
GUM,Guam\'a0\
GUY,Guyana\'a0\
HKG,Hong Kong\'a0\
HMD,Heard Island and McDonald Islands\'a0\
HND,Honduras\'a0\
HRV,Croatia\'a0\
HTI,Haiti\'a0\
HUN,Hungary\'a0\
IDN,Indonesia\'a0\
IMN,Isle of Man\'a0\
IND,India\'a0\
