Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2011-07-01,15363.5,False
1,1,2011-07-08,16148.87,False
1,1,2011-07-15,15654.85,False
1,1,2011-07-22,15766.6,False
1,1,2011-07-29,15922.41,False
1,1,2011-08-05,15295.55,False
1,1,2011-08-12,14539.79,False
1,1,2011-08-19,14689.24,False
1,1,2011-08-26,14537.37,False
1,2,2011-07-01,45247.74,False
1,2,2011-07-08,44623.23,False
1,2,2011-07-15,43260.96,False
1,2,2011-07-22,45113.56,False
1,2,2011-07-29,43191.02,False
1,2,2011-08-05,49359.75,False
1,2,2011-08-12,45341.92,False
1,2,2011-08-19,46391.12,False
1,2,2011-08-26,47659.93,False
1,3,2011-07-01,8070.64,False
1,3,2011-07-08,7366.5,False
1,3,2011-07-15,11578.11,False
1,3,2011-07-22,16069.5,False
1,3,2011-07-29,21331.51,False
1,3,2011-08-05,31248.98,False
1,3,2011-08-12,32148.93,False
1,3,2011-08-19,41603.11,False
1,3,2011-08-26,49775.52,False
1,4,2011-07-01,36451.71,False
1,4,2011-07-08,39149.99,False
1,4,2011-07-15,33930.8,False
1,4,2011-07-22,34630.02,False
1,4,2011-07-29,35555.5,False
1,4,2011-08-05,39339.09,False
1,4,2011-08-12,37449.94,False
1,4,2011-08-19,39148.87,False
1,4,2011-08-26,37495.2,False
1,5,2011-07-01,19239.86,False
1,5,2011-07-08,17989.45,False
1,5,2011-07-15,18444.8,False
1,5,2011-07-22,19331.53,False
1,5,2011-07-29,17406.68,False
1,5,2011-08-05,21183.42,False
1,5,2011-08-12,21320.93,False
1,5,2011-08-19,18643.51,False
1,5,2011-08-26,15478.26,False
1,6,2011-07-01,4047.92,False
1,6,2011-07-08,3412.08,False
1,6,2011-07-15,3154.33,False
1,6,2011-07-22,3665.52,False
1,6,2011-07-29,2839.92,False
1,6,2011-08-05,2864.27,False
1,6,2011-08-12,3124.83,False
1,6,2011-08-19,3717.28,False
1,6,2011-08-26,3296.22,False
1,7,2011-07-01,23747.1,False
1,7,2011-07-08,20691.6,False
1,7,2011-07-15,14805.42,False
1,7,2011-07-22,16002.3,False
1,7,2011-07-29,16061.11,False
1,7,2011-08-05,17388.43,False
1,7,2011-08-12,14088.28,False
1,7,2011-08-19,13413.8,False
1,7,2011-08-26,12116.03,False
1,8,2011-07-01,34063.23,False
1,8,2011-07-08,35582.39,False
1,8,2011-07-15,33336.29,False
1,8,2011-07-22,34006.29,False
1,8,2011-07-29,31981.72,False
1,8,2011-08-05,35484.32,False
1,8,2011-08-12,31061.21,False
1,8,2011-08-19,32707.8,False
1,8,2011-08-26,32668.5,False
1,9,2011-07-01,23809.04,False
1,9,2011-07-08,24644.78,False
1,9,2011-07-15,17344.99,False
1,9,2011-07-22,16973.16,False
1,9,2011-07-29,18244.55,False
1,9,2011-08-05,21425.32,False
1,9,2011-08-12,18708.23,False
1,9,2011-08-19,18244.5,False
1,9,2011-08-26,21140.44,False
1,10,2011-07-01,29583.91,False
1,10,2011-07-08,31714.81,False
1,10,2011-07-15,28299.95,False
1,10,2011-07-22,29459.23,False
1,10,2011-07-29,30521.96,False
1,10,2011-08-05,32548.48,False
1,10,2011-08-12,31383.62,False
1,10,2011-08-19,28909.06,False
1,10,2011-08-26,30630.65,False
1,11,2011-07-01,33808.27,False
1,11,2011-07-08,31642.79,False
1,11,2011-07-15,37603.73,False
1,11,2011-07-22,33734.44,False
1,11,2011-07-29,31884.24,False
1,11,2011-08-05,33020.31,False
1,11,2011-08-12,23696.66,False
1,11,2011-08-19,18661.68,False
1,11,2011-08-26,19767.53,False
1,12,2011-07-01,11414.72,False
1,12,2011-07-08,12384.1,False
1,12,2011-07-15,10046.0,False
1,12,2011-07-22,11455.24,False
1,12,2011-07-29,11641.86,False
1,12,2011-08-05,10145.97,False
1,12,2011-08-12,11581.03,False
1,12,2011-08-19,10094.04,False
1,12,2011-08-26,8594.52,False
1,13,2011-07-01,37414.14,False
1,13,2011-07-08,38193.09,False
1,13,2011-07-15,36966.32,False
1,13,2011-07-22,37990.15,False
1,13,2011-07-29,34910.1,False
1,13,2011-08-05,42542.66,False
1,13,2011-08-12,37593.97,False
1,13,2011-08-19,38533.7,False
1,13,2011-08-26,38727.3,False
1,14,2011-07-01,13459.55,False
1,14,2011-07-08,11578.97,False
1,14,2011-07-15,11404.37,False
1,14,2011-07-22,11681.04,False
1,14,2011-07-29,9918.05,False
1,14,2011-08-05,13330.04,False
1,14,2011-08-12,12652.58,False
1,14,2011-08-19,11724.24,False
1,14,2011-08-26,14364.42,False
1,16,2011-07-01,33435.46,False
1,16,2011-07-08,32379.77,False
1,16,2011-07-15,25134.4,False
1,16,2011-07-22,20795.03,False
1,16,2011-07-29,19681.62,False
1,16,2011-08-05,21143.58,False
1,16,2011-08-12,17998.16,False
1,16,2011-08-19,15998.18,False
1,16,2011-08-26,11671.46,False
1,17,2011-07-01,7424.91,False
1,17,2011-07-08,8444.58,False
1,17,2011-07-15,7205.38,False
1,17,2011-07-22,7826.08,False
1,17,2011-07-29,7500.48,False
1,17,2011-08-05,8100.38,False
1,17,2011-08-12,8893.77,False
1,17,2011-08-19,7974.09,False
1,17,2011-08-26,9138.11,False
1,18,2011-07-01,0.5,False
1,18,2011-07-15,0.3,False
1,18,2011-08-26,4.97,False
1,19,2011-07-01,750.76,False
1,19,2011-07-08,624.94,False
1,19,2011-07-15,1039.1,False
1,19,2011-07-22,689.39,False
1,19,2011-07-29,1327.67,False
1,19,2011-08-05,898.44,False
