Word,Word_Count
movie,83510
film,75721
\,48392
one,47047
like,37672
good,27340
would,24137
time,22859
really,22254
see,21800
even,21696
story,21547
much,18439
get,17776
people,17022
bad,16728
great,16576
well,15898
first,15343
could,15247
made,15243
also,15228
make,15100
way,14702
movies,14367
characters,13966
think,13962
character,13447
films,13177
seen,13019
watch,12623
many,12547
acting,12177
know,12153
never,12124
plot,12120
two,12117
show,11703
little,11569
love,11472
best,11333
ever,11201
life,11172
better,10872
say,10550
scene,10544
end,10272
scenes,10071
it,9954
still,9734
something,9500
man,9050
go,9016
back,8861
thing,8634
watching,8537
real,8514
actors,8506
years,8294
makes,8194
find,8131
funny,8127
work,7984
actually,7967
going,7886
lot,7851
though,7748
look,7638
old,7403
another,7300
part,7299
nothing,7259
want,7162
cast,7139
amp,7106
director,7063
quite,7028
every,6971
seems,6944
around,6933
pretty,6910
things,6861
fact,6804
got,6767
enough,6703
thought,6619
take,6459
give,6369
young,6283
us,6235
gets,6161
may,6140
always,6109
saw,6095
original,6073
role,6060
horror,6046
least,6033
whole,6032
must,6004
world,5977
series,5976
long,5974
without,5962
right,5953
times,5930
interesting,5919
almost,5911
music,5908
bit,5857
done,5807
come,5792
comedy,5766
point,5730
action,5724
might,5697
script,5668
new,5666
minutes,5649
big,5623
guy,5614
feel,5583
far,5541
anything,5529
performance,5431
kind,5342
family,5301
probably,5293
TV,5176
away,5124
found,5108
last,5098
played,5085
since,5053
fun,5044
rather,5032
woman,4916
worst,4898
making,4857
course,4805
anyone,4804
trying,4803
believe,4800
girl,4747
comes,4701
DVD,4631
goes,4618
shows,4588
especially,4587
yet,4579
put,4569
different,4530
ending,4500
main,4495
hard,4459
looking,4442
looks,4430
place,4425
watched,4421
worth,4418
reason,4416
sure,4413
screen,4381
book,4368
sense,4347
plays,4301
effects,4291
job,4247
actor,4244
money,4238
said,4233
10,4229
someone,4216
seem,4216
play,4207
takes,4194
set,4187
2,4167
together,4152
audience,4147
day,4069
American,4044
John,4041
true,4010
version,3992
left,3965
idea,3958
everything,3956
three,3956
beautiful,3916
seeing,3891
One,3884
else,3835
special,3828
wife,3809
everyone,3807
fan,3794
excellent,3793
shot,3783
used,3757
later,3746
completely,3739
simply,3665
read,3571
help,3570
nice,3549
short,3546
let,3493
year,3484
use,3481
poor,3470
need,3456
mind,3450
less,3447
However,3432
Hollywood,3418
father,3404
try,3379
performances,3375
rest,3367
recommend,3365
kids,3362
couple,3362
half,3358
enjoy,3356
along,3341
start,3333
friends,3330
given,3328
boring,3321
high,3308
either,3304
production,3291
truly,3261
tell,3255
understand,3254
women,3248
came,3246
classic,3238
home,3232
stupid,3203
getting,3203
wrong,3200
second,3195
men,3171
line,3162
mean,3159
moments,3158
camera,3154
instead,3140
death,3124
person,3085
keep,3077
although,3065
playing,3063
however,3062
remember,3057
gives,3057
maybe,3043
next,3035
