title,year,length,budget,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short
! Fz,2013,103,,5.8,31,,0,0,1,0,0,0,0
! Ikkenya puroresu,2004,100,,5.4,61,,1,0,0,1,0,0,0
!! Hana no endan,1976,99,,5.5,8,,1,0,1,0,0,0,0
#1,2005,30,5000,6.8,11,,0,0,0,1,0,0,1
#1 Serial Killer,2013,87,30000,6.1,33,,0,0,0,0,0,0,0
#137,2011,15,,5.8,5,,0,0,0,0,0,0,1
#140Characters: A Documentary About Twitter,2011,30,,7.7,9,,0,0,0,0,1,0,1
#30,2013,9,,6.7,23,,0,0,1,1,0,0,1
#5,2013,68,,5.4,5,,0,0,1,0,0,0,0
#54 Meets #47,2008,19,10000,9.2,5,,0,0,1,0,0,0,1
#729,2011,11,,4.1,12,,0,0,0,0,0,0,1
#8 Tire on the Ice,2009,4,,6,8,,0,0,1,0,0,0,1
#99,2015,14,,9.2,13,,0,0,0,1,0,0,1
#AmeriCan,2014,15,,6.8,22,,0,0,0,1,0,0,1
#Beings,2015,56,,5.3,10,,0,0,0,0,0,0,0
#Bfl O (ggGX /STwWcfl xZs 4,1963,6,,5.5,12,,0,0,1,0,1,0,1
#Help,2015,21,,8.2,6,,0,0,0,0,0,0,1
#Hommes: True Story of the Thieves' World,2015,134,1000000,8.6,5,,0,0,0,0,1,0,0
#Horror,2015,101,1500000,3.3,1536,,0,0,0,1,0,0,0
#Lucky Number,2015,80,1000000,5.2,328,,0,0,1,0,0,0,0
#MurderSelfie,2015,9,,7.7,6,,0,0,1,0,0,0,1
#O2LForever,2015,95,,9.4,61,,0,0,0,0,1,0,0
#OMGIMTRENDING,2011,33,6500,8.6,27,,0,0,1,0,0,0,1
#PostModem,2013,12,,5.5,24,,0,0,1,0,0,0,1
#Rip,2013,14,,7.4,21,,0,0,1,0,0,0,1
#Sequence,2013,63,,6.1,11,,0,0,1,1,0,0,1
#Socially Awkward Media,2014,6,,6.8,6,,0,0,1,0,0,0,1
#Somethingdifferentthemovie,2015,15,,6,5,,0,0,1,1,0,0,1
#Stop,2012,7,,7.2,5,,0,0,0,1,0,0,1
#Stuck,2014,83,,5.7,445,,0,0,1,1,0,1,0
#Vengeance Is Mine,2013,15,1400,7.3,6,,0,0,0,1,0,0,1
#WszystkoGra,2016,90,,4.9,19,,0,0,1,0,0,0,0
#Ya,2015,15,,5.9,7,,0,0,0,0,1,0,1
#Yolo,2013,9,0,5.2,10,,0,0,0,1,0,0,1
#Zombie,2015,8,,7.9,12,,0,0,1,0,0,0,1
#chicagoGirl: The Social Network Takes on a Dictator,2013,74,,7.3,136,,1,0,0,1,1,0,0
#direnayol,2016,60,,7.1,7,,0,0,0,0,1,0,0
#garotas: O Filme,2015,105,,5.4,14,,0,0,1,1,0,0,0
#halloweenparty,2015,10,,7.5,18,,0,0,0,0,0,0,1
#nightslikethese,2013,14,6000,6.6,5,,0,0,0,1,0,0,1
#standwithme,2014,73,,8.8,6,,0,0,0,0,1,0,0
#twitterkills,2014,11,,7.4,54,,0,0,1,0,0,0,1
#whilewewatch,2011,39,,8,10,,0,0,0,0,1,0,0
$,1971,121,,6.5,1684,,0,0,1,1,0,0,0
$00pah NiN10Doh!,2009,9,,7.4,14,,0,1,1,0,0,0,1
$1.11,2008,15,11000,7.9,19,,0,0,0,0,0,0,1
$10 Raise,1935,70,,7.1,8,,0,0,1,1,0,1,0
$100 & a T-Shirt: A Documentary About Zines in the Northwest,2004,51,,6.5,11,,0,0,0,0,1,0,0
$1000 a Touchdown,1939,71,,6.1,37,,0,0,1,0,0,0,0
$21 a Day - (Once a Month),1941,7,,6.4,27,,0,1,0,0,0,0,1
$30,1999,20,,7.4,262,,0,0,1,0,0,0,1
$40,0,1996,70,,8.1,45.5,,0,0,1,0,0,0
